year,subbasin,water_right_date,water_right_cat,shut_off_date,shut_off_julian
1992,sc_lw,6/1/1886,C,4/27/92,118
1993,bw_ab_magic,3/24/1883,A,10/1/93,274
1993,bw_ab_magic,10/14/1884,B,9/9/93,252
1993,bw_ab_magic,6/1/1886,C,9/2/93,245
1993,bw_bl_magic,3/24/1883,A,10/1/93,274
1993,bw_bl_magic,10/14/1884,B,10/1/93,274
1993,bw_bl_magic,6/1/1886,C,10/1/93,274
1993,sc_lw,3/24/1883,A,10/1/93,274
1993,sc_lw,10/14/1884,B,10/1/93,274
1993,sc_lw,6/1/1886,C,10/1/93,274
1994,bw_ab_magic,3/24/1883,A,7/15/94,196
1994,bw_ab_magic,10/14/1884,B,6/22/94,173
1994,bw_ab_magic,6/1/1886,C,6/16/94,167
1994,bw_bl_magic,3/24/1883,A,7/12/94,193
1994,bw_bl_magic,10/14/1884,B,7/12/94,193
1994,bw_bl_magic,6/1/1886,C,7/1/94,182
1994,sc_lw,3/24/1883,A,10/1/94,274
1994,sc_lw,10/14/1884,B,7/12/94,193
1994,sc_lw,6/1/1886,C,7/5/94,186
1995,bw_ab_magic,3/24/1883,A,10/1/95,274
1995,bw_ab_magic,10/14/1884,B,10/1/95,274
1995,bw_ab_magic,6/1/1886,C,10/1/95,274
1995,bw_bl_magic,3/24/1883,A,10/1/95,274
1995,bw_bl_magic,10/14/1884,B,10/1/95,274
1995,bw_bl_magic,6/1/1886,C,10/1/95,274
1995,sc_lw,3/24/1883,A,10/1/95,274
1995,sc_lw,10/14/1884,B,10/1/95,274
1995,sc_lw,6/1/1886,C,10/1/95,274
1996,bw_ab_magic,3/24/1883,A,10/1/96,275
1996,bw_ab_magic,10/14/1884,B,8/26/96,239
1996,bw_ab_magic,6/1/1886,C,8/13/96,226
1996,bw_bl_magic,3/24/1883,A,10/1/96,275
1996,bw_bl_magic,10/14/1884,B,10/1/96,275
1996,bw_bl_magic,6/1/1886,C,10/1/96,275
1996,sc_lw,3/24/1883,A,10/1/96,275
